Position,"Track Name",Artist,URL
1,Vibe,"Cookiee Kawaii",https://open.spotify.com/track/7btQ8AOjr6zXoGHEmxL5u5
2,"death bed (feat. beabadoobee)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
3,"Moral of the Story",Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
4,"My Truck",Breland,https://open.spotify.com/track/1mpD5ioZ9479I6CuKxn3K9
5,Bando,ANNA,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
6,"WHATS POPPIN","Jack Harlow",https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
7,"My Heart Went Oops",Tiagz,https://open.spotify.com/track/3Nhfs2Cx7z2JWHetYkzSfO
8,"Pura Pura Lupa",Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
9,Apollo,Smoove'L,https://open.spotify.com/track/0VPmIETYsw3JBnyh4iDjVv
10,Psycho!,MASE,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
11,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
12,Dior,"Pop Smoke",https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
13,"Carnaval Chegando","Rennan da Penha",https://open.spotify.com/track/4A8LKlysJXq8swPVDPd0xH
14,"S'en aller",Swing,https://open.spotify.com/track/3ATo60fpicfxwZ0daRatlU
15,"Uslanmıyor Bu","Zeynep Bastık",https://open.spotify.com/track/24BvlSG2Y36Heg1dwLwHtu
16,"Bi Sonraki Hayatımda Gel",Murda,https://open.spotify.com/track/7BjmOMyfT4PBKbZuSCwWPc
17,"Any song",Zico,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn
18,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
19,"Diva (feat. Lil Tecca)","The Kid LAROI",https://open.spotify.com/track/7gVwgc8b3XnO87TpmXXFA5
20,"CITY OF ANGELS",24kGoldn,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
21,BLACKOUT,"Lil Kapow",https://open.spotify.com/track/29hrQIClzqNqMPO4bVWcjI
22,"Welcome To The Party","Pop Smoke",https://open.spotify.com/track/0fIffclhgJC5h8AdMMVvkp
23,Drugs,UPSAHL,https://open.spotify.com/track/06ioYJ99HHjzRk8HrGfkKS
24,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
25,"DUN DUN",EVERGLOW,https://open.spotify.com/track/3CyCjgTHFzqucmECajq8QA
26,"Rindu Dalam Hati","Arsy Widianto",https://open.spotify.com/track/1DhJgI2oAsDeDVSD5TNPCF
27,Ivana,Soulstice,https://open.spotify.com/track/54b8IPvheXDpro2VR2rWAS
28,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
29,Trust,"Brent Faiyaz",https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
30,Secukupnya,Hindia,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
31,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
32,Leila,Reynmen,https://open.spotify.com/track/1RqNAiL2toZ59HTjQbFLfM
33,"Boys Ain't Shit",SAYGRACE,https://open.spotify.com/track/6vzLbfskWigBsCzNdB0kfE
34,"De Toreador",Opgeblazen,https://open.spotify.com/track/263LTQQjp6gLjxP2O7MFBD
35,"Tudo Ok","Thiaguinho MT",https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
36,"What If I Told You That I Love You","Ali Gatie",https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
37,"Black Swan",BTS,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
38,"I LOVE...","Official HIGE DANdism",https://open.spotify.com/track/6Yrkz3dWqy933CQWQc4Yah
39,Svag,"Victor Leksell",https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9
40,"Per sentirmi vivo",Fasma,https://open.spotify.com/track/5U3ln41nbhztweY70Mv5b3
41,"Quédate conmigo",Pole.,https://open.spotify.com/track/3T1egHTtRtYoal4SPUJAAe
42,Physical,"Dua Lipa",https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
43,"Toss A Coin To Your Witcher","Sonya Belousova",https://open.spotify.com/track/2KMLGJ1mPfRE4GNdL92rl3
44,"Vai Bene Così","Leo Gassmann",https://open.spotify.com/track/4A9WiZ8ShlpOaoULibEwup
45,Alge,Knossi,https://open.spotify.com/track/69nrq6NeLYbKJIv21ORgQ4
46,"Yetinmeyi Bilir Misin?","Sezen Aksu",https://open.spotify.com/track/3mRVgn5Q4AbECPzPRlCEk3
47,Diosa,"Myke Towers",https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
48,"Kazılı Kuyum","Yüzyüzeyken Konuşuruz",https://open.spotify.com/track/5DJEXxOutnFD5GEUVk88yE
49,"You Broke My Heart Again",Teqkoi,https://open.spotify.com/track/3jZDWsoxRHzzp3DYV8qeXE
50,"Amor Tumbado","Natanael Cano",https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj
